time,flexion_tronco,flexion_brazo,flexion_muneca,Puntos_Brazo,Puntos_Muneca,Puntos_Tronco,RULA_Final
4.2833,-0.01217754190594178,-0.5419562086476049,1.1196956715706676,1,1,1,4
4.3,0.0006679540307743537,-0.5358451510183215,1.1113909433339586,1,1,1,4
4.3167,0.012724282706216172,-0.5313322293667966,1.1134113824561211,1,1,1,4
4.3333,0.019882493782546362,-0.5239803990441487,1.129279811503551,1,1,1,4
4.35,0.023933731938114988,-0.5193616182806693,1.1512949857774686,1,1,1,4
4.3667,0.026935317177617435,-0.5172438970420217,1.168609328150751,1,1,1,4
4.3833,0.030802910866384536,-0.5157217383146531,1.1757776808329936,1,1,1,4
4.4,0.03440340404182507,-0.5136934512881339,1.1697990990763856,1,1,1,4
4.4167,0.03654771281762237,-0.514384260856616,1.165291089736428,1,1,1,4
4.4333,0.035030203837465024,-0.5119788932918539,1.1537292004593382,1,1,1,4
4.45,0.031913640307863034,-0.5116920155197988,1.1578741184688965,1,1,1,4
4.4667,0.02627385924577652,-0.5147216853635541,1.1573157093259283,1,1,1,4
4.4833,0.023234461088662783,-0.5241322338198131,1.1580170031007526,1,1,1,4
4.5,0.018239982092097762,-0.5308313893488616,1.1629761832880945,1,1,1,4
4.5167,0.016455285313128343,-0.5319583779307777,1.1668657387993733,1,1,1,4
4.5333,0.021160619442696316,-0.5294676676751351,1.1646994745885024,1,1,1,4
4.55,0.02493685438992088,-0.5182550653952376,1.1664872452811323,1,1,1,4
4.5667,0.029634956471767282,-0.5007340308441428,1.1677899751800567,1,1,1,4
4.5833,0.029177245616409664,-0.4795060118145784,1.1691879904449536,1,1,1,4
4.6,0.026117897911660748,-0.4556151122200447,1.1732933016592142,1,1,1,4
4.6167,0.024209159271322278,-0.4364129230065714,1.177063279765946,1,1,1,4
4.6333,0.022368034382935775,-0.4234362202202533,1.1792274363618844,1,1,1,4
4.65,0.021228607038295877,-0.42036046488709644,1.1799374112921441,1,1,1,4
4.6667,0.021880098352909272,-0.4190876377302857,1.171944890621944,1,1,1,4
4.6833,0.027453388817519908,-0.41792937669015373,1.1642357454944943,1,1,1,4
4.7,0.030416870939092178,-0.41423256033630196,1.1564332779295228,1,1,1,4
4.7167,0.031416343673242864,-0.40215957061536756,1.1645024373642343,1,1,1,4
4.7333,0.03317546827895512,-0.3909034233981572,1.1681741223083577,1,1,1,4
4.75,0.027972732163988212,-0.3729531480534831,1.1762558566841221,1,1,1,4
4.7667,0.022171333624186218,-0.35838069444207576,1.1858140742388628,1,1,1,4
4.7833,0.015522213308145183,-0.34232636017969753,1.1929064255566288,1,1,1,4
4.8,0.00808367275047317,-0.3267537427477123,1.2013797422359573,1,1,1,4
4.8167,-0.0007525643144958849,-0.3135553499996604,1.2152846377153708,1,1,1,4
4.8333,-0.008392539045189551,-0.3075404477012853,1.2268326091868857,1,1,1,4
4.85,-0.017881069694340113,-0.30252787015936633,1.2334812313524708,1,1,1,4
4.8667,-0.027662743202711226,-0.300736131324868,1.234846062625678,1,1,1,4
4.8833,-0.03737317207480828,-0.2941511692275185,1.2337874254588428,1,1,1,4
4.9,-0.041094405395710965,-0.27869936768735215,1.2322099829171123,1,1,1,4
4.9167,-0.04348616189452059,-0.2571099949154245,1.2303906607509134,1,1,1,4
4.9333,-0.04291368598634904,-0.23400549752653887,1.2261032915430121,1,1,1,4
4.95,-0.04163790072030338,-0.21076303646992756,1.222561070998097,1,1,1,4
4.9667,-0.03990478388413976,-0.18697377963735562,1.2191782655355041,1,1,1,4
4.9833,-0.03860014696309122,-0.16510389602510145,1.2250915709411174,1,1,1,4
5.0,-0.040427321269845606,-0.14872846099416392,1.2307734748178518,1,1,1,4
5.0167,-0.04055217751829332,-0.13405230167029458,1.2451221387524072,1,1,1,4
5.0333,-0.04157537616060836,-0.12525775893755053,1.2596137807219918,1,1,1,4
5.05,-0.038138465160812984,-0.11679069563541589,1.2759538993847457,1,1,1,4
5.0667,-0.034974570300647656,-0.10315381989624939,1.2833204939925338,1,1,1,4
5.0833,-0.03616985849052412,-0.0811154462086563,1.2881504655647973,1,1,1,4
5.1,-0.029260362893097636,-0.06573076325619809,1.281570887889501,1,1,1,4
5.1167,-0.025713478029132375,-0.05385654824095809,1.276724281006409,1,1,1,4
5.1333,-0.025101002778256998,-0.04243064968537169,1.2576700284844549,1,1,1,4
5.15,-0.03036668260168085,-0.03561274527731939,1.2479916295677072,1,1,1,4
5.1667,-0.035386223966924035,-0.02095999981497698,1.2389778713668989,1,1,1,4
5.1833,-0.04480007323391533,0.0016943394862494188,1.235708723039977,1,1,1,4
5.2,-0.06884784692869061,0.03702746196205453,1.239550953484354,1,1,1,4
5.2167,-0.07793676395010607,0.06062148503286835,1.2440949006606559,1,1,1,4
5.2333,-0.07944714973706368,0.0747787240013622,1.2451242729282797,1,1,1,4
5.25,-0.07695190000040952,0.07175921640055094,1.2525678916019274,1,1,1,4
5.2667,-0.07605750849347714,0.06436746978010888,1.2598113628227168,1,1,1,4
5.2833,-0.07483252980608768,0.06853701417776392,1.2740627546167218,1,1,1,4
5.3,-0.07537893625129755,0.08306226665351346,1.2850675398565272,1,1,1,4
5.3167,-0.07275236225984827,0.1010874765179608,1.2929462722333938,1,1,1,4
5.3333,-0.0670326163705397,0.12280472708789603,1.304517939078437,1,1,1,4
5.35,-0.059859424550893436,0.14520884528792521,1.3164922130920331,1,1,1,4
5.3667,-0.05406448172826117,0.16926338429834686,1.3204861307949614,1,1,1,4
5.3833,-0.04873555247863237,0.18763945654828262,1.3204683030713795,1,1,1,4
5.4,-0.04295969280380518,0.20503767869061562,1.3112752758648867,1,1,1,4
5.4167,-0.03665659943428068,0.21371236814110262,1.3005748223567082,1,1,1,4
5.4333,-0.028170888644154957,0.224797640318684,1.28842523403452,1,1,1,4
5.45,-0.01917096902283788,0.2353849503630272,1.2829602309996062,1,1,1,4
5.4667,-0.010363910887008387,0.242909097434449,1.287522184559748,1,1,1,4
5.4833,-0.009827649361369595,0.254418690068519,1.2957651536295884,1,1,1,4
5.5,-0.010360732429830932,0.2607045981130227,1.3140232591658503,1,1,1,4
5.5167,-0.004139881796248801,0.2585469457881686,1.3240693407273625,1,1,1,4
5.5333,0.00687594395577662,0.2538920728414382,1.3342511553414056,1,1,1,4
